No.;Time;Comment;Scramble;Date;P.1
124;6.51;;L U' B L U' L' B R' B' l r' b' u';2023-07-26 11:13:02;6.51
125;8.96;;B L' R B R' U L R b' u;2023-07-26 11:13:20;8.96
126;7.87;;R U R L R' U L R' r' b u;2023-07-26 11:13:42;7.87
127;8.18;;U' B U' R B R L U' l r b u';2023-07-26 11:14:11;8.18
128;6.40;;B' R' B' U R B L' U l b' u';2023-07-26 11:14:35;6.40
129;7.65;;R' U B R' U B' R L l r b' u;2023-07-26 11:15:00;7.65
130;5.35;;R U' B L' R' L U' B r b' u;2023-07-26 11:15:30;5.35
131;6.05;;B' R L' B' L' U' R' U' b' u;2023-07-26 11:15:49;6.05
132;5.21;;R' B L' R' B L' R U' l' r' b u';2023-07-26 11:16:08;5.21
133;6.31;;U' B L' R' U' B L' B l r b u;2023-07-26 11:17:02;6.31
134;6.99;;L' B' R U L B' L' U L' l r' b' u;2023-07-26 11:17:21;6.99
135;6.27;;B' R' U' L' B L' B R' l' b' u';2023-07-26 11:17:40;6.27
136;5.86;;L' U' R' B U R' L' B b;2023-07-26 11:17:59;5.86
137;8.50+;;U' R' B U' L' R B L b' u';2023-07-26 11:18:22;6.50
138;5.10;;R' L' U R' U L R' B' L' l b' u;2023-07-26 11:18:44;5.10
139;5.72;;R B' R U' B' R B' U r b' u;2023-07-26 11:19:08;5.72
140;7.39;;L' B' R' L' R' L' R U';2023-07-26 11:19:26;7.39
141;4.90+;;B R U R U' B U' B' l' r;2023-07-26 11:19:46;2.90
142;9.79;;U L' R' L' B' L U' L b' u;2023-07-26 11:20:04;9.79
143;6.14;;B L' U B U R U B r b;2023-07-26 11:20:30;6.14
144;7.61;;R U' L B R' B L B' l u;2023-07-26 11:20:56;7.61
145;6.71;;U R' L' R' L' U B' R l' r' b;2023-07-26 11:21:17;6.71
146;9.20;;L' R' U' R L B' U R' l r' b' u;2023-07-26 11:21:39;9.20
147;5.62;;B' U R' L' U L' B' U' L r u;2023-07-26 11:22:02;5.62
148;8.39;;U L R' B' R' L B' R l' r b' u;2023-07-26 11:22:21;8.39
149;7.38+;;B' R' U R B' L U' R' l r' b;2023-07-26 11:22:45;5.38
150;7.12;;U R' U' B R' L' R' B' l' r' u';2023-07-26 11:23:04;7.12
151;4.70;;R' U' B' R' U' R B L' l r b' u';2023-07-26 11:23:26;4.70
152;4.96;;U R U B U' B' L B l r';2023-07-26 11:24:00;4.96
153;4.74;;L R L' R U' R U' B' l' r' b u;2023-07-26 11:24:23;4.74
154;6.25;;R B U R L U' R U l' r b u';2023-07-26 11:24:42;6.25
155;6.57;;U B' L U' R' B U' L' l r' b;2023-07-26 11:25:05;6.57
156;6.20;;R U' B U L' B' U' L u';2023-07-26 11:25:27;6.20
157;4.49;;R' B R' B' U B' R B' l' r b';2023-07-26 11:25:46;4.49
158;6.44;;R U L R L R' B U' l r' b u;2023-07-26 11:26:06;6.44
159;4.86;;U L' U R' L B' U' L' R' l' b;2023-07-26 11:26:29;4.86
160;6.24;;R' U R' L' B R' B U' R' l' r';2023-07-26 11:26:52;6.24
161;9.85;;L R L' R' U' L U' R B r' u;2023-07-26 11:27:11;9.85
162;7.00;;B' U L' U R B' R' B' l r b u;2023-07-26 11:27:37;7.00
163;8.50;;U B' U R B' U R' B U l' r' b' u;2023-07-26 11:27:59;8.50
164;7.50;;B' U' B L' U' B U' L' l' r' b' u;2023-07-26 11:28:24;7.50
165;10.19+;;R B' L' U R' L U R' r' b u;2023-07-26 11:28:46;8.19
166;8.11;;U' L R' B R' B L R' l r b' u';2023-07-27 14:21:02;8.11
167;5.46;;U L R' U L' B' R' U' l r u;2023-07-27 14:21:26;5.46
168;7.10;;U B' U' B' R B' L U' l b' u;2023-07-27 14:21:50;7.10
169;4.32;;L' R U' L' R' B R' U' B' l' r' b';2023-07-27 14:22:28;4.32
170;5.97;;L' U' B L B' U' L B' r u;2023-07-27 14:22:46;5.97
171;4.88;;B' R B U' L R B L l' b' u;2023-07-27 14:23:09;4.88
172;5.31;;U R B' L U R' L R' U' b';2023-07-27 14:23:33;5.31
173;8.50;;U' B' R B' R L' R U r' u;2023-07-27 14:23:57;8.50
174;5.10;;R' U L' R' U' B U L' r' u;2023-07-27 14:24:19;5.10
175;6.59;;B' R U' B' L B R B' l b u;2023-07-27 14:24:41;6.59
176;5.89;;U B' L B' R' L U' B' l' r' b' u';2023-07-27 14:25:17;5.89
177;3.97;;R' B' L B U R' U R' L' l' b;2023-07-27 14:25:35;3.97
178;4.54;;L' B U' L R U L R' b';2023-07-27 14:25:50;4.54
179;6.06;;R U' B R L R' U' B U' r b' u';2023-07-27 14:26:08;6.06
180;6.93+;;L U' B' L U' L' U B l' r b' u;2023-07-27 14:26:32;4.93
181;4.32;;L B L B' L' B L' U' l r u;2023-07-27 14:26:55;4.32
182;6.47;;B R' U R' L' B R B' l r u;2023-07-27 14:27:26;6.47
183;5.64;;R' L' R' L' U B' U' B' U r' b';2023-07-27 14:27:57;5.64
184;4.40;;L R L' R B R U' B' l r;2023-07-27 14:28:37;4.40
185;5.55;;R B' L R L U L' B l' r b';2023-07-27 14:28:54;5.55
186;4.61;;L' B U L U' R' L U' u';2023-07-27 14:29:15;4.61
187;4.18;;L U R L' U B' R B l r;2023-07-27 14:29:40;4.18
188;4.74;;L' B U' B' L B U' B' l' r b;2023-07-27 14:30:08;4.74
189;9.74;;R B' L' R' U' L' R U r' u;2023-07-27 14:30:26;9.74
190;8.09;;R' B' L' U' R B' R U' r b;2023-07-27 14:31:06;8.09
191;4.98;;B L' U L' R B L' B r';2023-07-27 14:31:42;4.98
192;7.63;;R' U' R U R' L U' L' B l r b u;2023-07-27 14:32:19;7.63
193;12.21+;;U' L U' B' R L R' L l r b;2023-07-27 17:04:45;10.21
194;7.07;;U' B' L' B' L' U R' B' l r' b u;2023-07-27 17:05:14;7.07
195;6.18;;B' R U L R' B L' B' U' l' b u';2023-07-27 17:05:41;6.18
196;6.83;;L' U B U' B U' L B l r u;2023-07-27 17:06:01;6.83
197;9.05+;;L' B U B' R' B U' R' l' r u';2023-07-27 17:06:28;7.05
198;5.52;;R' U' B' U L B' R' B L' b;2023-07-27 17:06:53;5.52
199;5.69;;L' B U' L' U' L' U' B' l' r';2023-07-27 17:07:13;5.69
200;4.74;;B R L R U B' R U' r' b' u';2023-07-27 17:07:32;4.74
201;6.01+;;B' R L B L' R' B' L r' u';2023-07-27 17:07:49;4.01
202;3.80;;R' U' L B' R' U' B R' l r b u';2023-07-27 17:08:09;3.80
203;2.80;;R L' R L B' L' B L' l' b;2023-07-27 17:08:31;2.80
204;4.51;;U' B' R L' U L U' B l b' u;2023-07-27 17:08:48;4.51
205;8.22+;;R' B' U' B' L' R L' B U' r b;2023-07-27 17:09:09;6.22
206;4.87;;R U' R L' U B' R L' r' b';2023-07-27 17:09:31;4.87
207;5.24;;U B' L U R' B' L' R L' l r' b u;2023-07-27 17:09:51;5.24
208;7.53;;U B U' L' R B' U' L l r' b' u;2023-07-27 17:10:22;7.53
209;5.92;;R' B U R B U L' U' l r' b';2023-07-27 17:10:43;5.92
210;5.69;;L U B L U' L R L r' b' u';2023-07-27 17:11:11;5.69
211;8.39;;L' U B' L' R' B U' R' l r b' u;2023-07-27 17:11:33;8.39
212;5.12;;L' B U' L' R' L B R' l' b;2023-07-27 17:11:56;5.12
213;4.86;;B' U B' L' B' R' B' L l';2023-07-27 17:12:17;4.86
214;10.25+;;U B' R L' U' B R L' l r' b u';2023-07-27 17:13:02;8.25
215;5.68;;R' U' B U R' B' R' L l' r u;2023-07-27 17:13:28;5.68
216;10.72+;;U' L' R' B' U B' R' L l' r b u';2023-07-27 17:14:00;8.72
217;5.70;;R' U' B U R' L B U r' b' u;2023-07-27 17:14:26;5.70
218;10.68;;B R' U' B R L' R L' R' l' r b' u';2023-07-27 17:14:51;10.68
219;4.91;;R' L' B' U' R' U R U l' r b';2023-07-27 17:15:21;4.91
220;5.47;;U B' U L B' L' R' B' l b u;2023-07-27 17:15:44;5.47
221;6.96;;B U' R U L' R' U' L' l' r u;2023-07-27 17:16:02;6.96
222;5.69;;B U' B R' U' B' U' L' U b' u';2023-07-27 17:16:27;5.69
223;10.39;;B U' R' L B' R B' R l r' b u';2023-07-27 17:17:30;10.39
224;6.16;;L R L R U L B' R' l r u;2023-07-27 17:17:56;6.16
225;11.34;;U L' B U R' U' L' R B' r u;2023-07-27 17:18:17;11.34
226;6.44;;L R U' B' R' U R' B R' r b' u';2023-07-27 17:19:16;6.44
227;4.68;;U B U L' U' R' B' R r b' u;2023-07-27 17:19:40;4.68
228;6.68;;B R' B' U' B L' B' R l r' b u';2023-07-27 17:19:59;6.68
229;8.52+;;R B' R L' R B R' U' l r b' u';2023-07-27 17:20:47;6.52
230;7.25;;R L' B' U L B U' R l' r' u';2023-07-27 19:46:31;7.25
231;5.24;;R' L' B U' B' U' L' U' l' b' u';2023-07-27 19:46:49;5.24
232;5.63;;L' R' L B' U R L' U L r' u;2023-07-27 19:47:11;5.63
233;7.02;;L' B R' U L B L' R' r';2023-07-27 19:47:36;7.02
234;6.69;;U' R' L' R B L' U' L' R l r' b u';2023-07-27 19:47:58;6.69
235;5.05;;L' U R L' U B' R' L U' l r';2023-07-27 19:48:19;5.05
236;5.70;;L U' L' U' R U B' R' l' b u';2023-07-27 19:48:38;5.70
237;5.90+;;R U' B' L B' L' B' L R l' r';2023-07-27 19:49:19;3.90
238;5.84;;R L R' B' R U R' B' l' r' u;2023-07-27 19:49:38;5.84
239;6.40;;B' U R U' B' L' U' B l' b u;2023-07-27 19:50:00;6.40
